Authors,Affiliations
Tianxing He,MIT
Xuenan Xu,Shanghai Jiao Tong University
Stefan Trausan-Matu,University Politehnica of Bucharest
Philippe Dessus,University Grenoble Alpes
Danielle McNamara,Arizona State University
Scott Andrew Crossley,Georgia State University
Stefan Ruseti,University Politehnica of Bucharest
Traian Rebedea,University Politehnica of Bucharest
Nicolae Nistor,Univeristy of Munchen
maryse bianco,University Grenoble Alpes
Gabriel Gutu-Robu,University Politehnica of Bucharest
Laura Allen,University of New Hampshire
Aurélie Nardy,University Grenoble Alpes
Ciprian Dobre,University Politehnica of Bucharest
Ryan Baker,University of Pennsylvania
Dorinela Dascalu,University Politehnica of Bucharest
Kristopher Kyle,University of Oregon
Valentin Cristea,University Politehnica of Bucharest
Elvira Popescu,University of Craiova
Jean-Philippe Pernin,Grenoble University
María Jesús Rodríguez-Triana,Tallinn University
Iulia Pasov,University Politehnica of Bucharest
Mihai Dascalu,University Politehnica of Bucharest
Philip McCarthy,American University of Sharjah
Rod Roscoe,Arizona State University
Stephen Skalicky,Victoria University of Wellington
Max Louwerse,Tilburg University
Scott Jarvis,University of Utah
Erica Snow,SRI International
Minkyung Kim,Nagoya University of Commerce and Business
Cynthia May Berger,Duolingo
Dean Schillinger,UCSF
Zhiqiang Cai,UW-Madison
Renu Balyan,SUNY 
Vasile Rus,University of Memphis
Tanner Jackson,Educational Testing Services
Graesser, University of Memphis
Jenny W. Folkeryd,Uppsala universitet
Åsa af Geijerstam,Uppsala universitet
Caroline Liberg,Professor of Educational Sciences
Mattias Villani,Linköping University
Sofie Johansson,"Department of Swedish, Multilingualism, Language technology"
Martin Volk,University of Zurich
Lisa Yankovskaya,University of Tartu
Andre Tättar,University of Tartu
Maksym Del,University of Tartu
Matīss Rikters,University of Tokyo
Andre Martins,Carnegie Mellon University 
Laura Mascarell,ETH Zurich
Elizaveta Korotkova,University of Tartu
Heiki-Jaan Kaalep,University of Tartu
Kairit Sirts,University of Tartu
Agnes Luhtaru,University of Tartu
Nils Dahlbäck,Linköping University
Lars Ahrenberg,Linköping University
Evelina Rennes,Linköping University
Susanna Nilsson,"Dr Cognitive Systems, FOI"
Henrik Danielsson,Linköping University
Magnus Merkel,Fodina Language Technology
Björn JE Johansson,Linköping University
Christian Smith,Linköping University
Pernilla Qvarfordt, FX Palo Alto Laboratory
Mikael Nyström,Linköping University
Annika Silvervarg,Linköping University
Lixiang Li(李丽香),Beijing University
Pontus Wärnestål,Halmstad University
Leili Lind,
Lena Strömbäck,SMHI
João Sedoc,New York University
Eleni Miltsakaki,University of Pennsylvania
Derry Wijaya,Boston University
Carolina Zheng,Columbia University
Sunny X. Tang,University of Pennsylvania
Sunghye Cho,University of Pennsylvania
Mark Liberman,University of Pennsylvania
John Hewitt,Stanford University
Brendan Callahan,
Ajay Patel,University of Pennsylvania
Martha Stone Palmer,University of Colorado
Akanksha Malhotra,University of Colorado
Ion Androutsopoulos,Athens University
Maria Pontiki,Institute for Language and Speech Processin
Haris Papageorgiou,Institute for Language and Speech Processin
Dimitrios Galanis,Institute for Language and Speech Processing
Anne Cocos,
Alexandre Allauzen,"Université Paris-Dauphine and EPSCI, PSL"
François Yvon,LIMSI/CNRS
Guillaume Wisniewski,Université de Paris
Tim Van de Cruys,KU Leuven
Diana McCarthy,University of Cambridge
Artem Sokolov,Google
Li GONG,IMMI-CNRS
Holger Schwenk,Facebook
Patrik Lambert,RWS Group
Christophe Servan,Qwant
Jean Senellart,Quandela
Haithem AFLI,Munster Technological University
Kashif Shah,Microsoft
Yannick Estève,University of Avignon
Thomas Lavergne,"Associate Professor of Computer Science, LIMSI-CNRS"
Olivier Cappé,CNRS
Josep Maria CREGO,Head of Research at SYSTRAN
Pierre Zweigenbaum,"Senior Researcher, LISN, CNRS, Université Paris-Saclay, Orsay, France (formery LIMSI)"
Le Hai Son,Phd
laurent besacier,Professor in Computer Science
Nicolas Stroppa,Google
Nicolas Pécheux,"Ph.D. student, LIMSI-CNRS and Université Paris Sud"
Jean-Luc Gauvain,LIMSI-CNRS
Lauriane Aufrant,LIMSI-CNRS
Lori Lamel,CNRS-LIMSI/TLP
Pierre Godard,"LIMSI, CNRS, Université Paris Saclay"
Géraldine Damnati,Orange Labs
Martine Adda-Decker,CNRS LPP Paris Sorbonne Nouvelle / LIMSI Orsay
Guillaume Gravier,CNRS - IRISA
Frédéric Bimbot,"Directeur de Recherche CNRS, Equipe PANAMA (IRISA, INRIA, Rennes 1 University)"
Gonzalo Navarro,University of Chile
Berthier Ribeiro-Neto,Google
Gaston H. Gonnet,ETH Zurich
Nivio Ziviani,Kunumi
Omar Alonso,Amazon
Edgar Chavez,"Senior researcher, Centro de Investigación Científica y de Educación Superior de"
Vassilis Plachouras,Facebook
Fabrizio Silvestri,University of Rome
Barbara Poblete,University of Chile
Berkant Barla Cambazoglu,RMIT University
Flavio Junqueira,Dell
Marcelo Mendoza,CENIA
William B. Frakes,ISASE
Michael Gertz,Heidelberg University
Francesco Bonchi,Centai
Liliana Calderón-Benavides,Profesor titular UNAB
Agha Ali Raza,Lahore University of Management Sciences
Wasim Q. Malik,Harvard
Lucelene Lopes,PhD
Cleci Bevilacqua,Federal University of Rio Grande do Sul
Marcelo Leandro Eichler,Federal University of Rio Grande do Sul
PATRICIA CHITTONI RAMOS REUILL...,Professora de estudos de tradução
Carlos Ramisch,Aix Marseille University
Helena Caseli,Federal University of Rio Grande do Sul
Leci Barbisan,Federal University of Rio Grande do Sul
Adriano Zanette,Federal University of Rio Grande do Sul
Paulo Quaresma,Universidade de Évora
Tanara Zingano Kuhn,University of Coimbra
Lucas Meireles Tcacenco,Federal University of Rio Grande do Sul
Viviane P. Moreira,Federal University of Rio Grande do Sul
Ariel Novodvorski,Federal University of Rio Grande do Sul
Heloísa Orsi Koch Delgado,Independent researcher
K.S Rajan,IIIT Hyderabad
Dimitris Alikaniotis,Grammarly
Oleksandr Skurzhanskyi,Applied Research Scientist
Kostiantyn Omelianchuk,Grammarly
Dongyeop Kang,University of Minnesota
Dhruv Kumar,University of Waterloo
Wanyu Du,University of Virginia
Zae Myung Kim,University of Minnesota
Artem Chernodub,Grammarly
Vipul Raheja,Grammarly
Kartikey Pant,IIIT Hyderabad
Radhika Mamidi,IIiT Hyderabad
Kuntal Dey,IIT Guwahati
Seema Nagar,IBM
Ferdous Ahmed Barbhuiya,IIIT Hyderabad
Tanvi Dadu,Undergraduate Student
Venkata Himakar Yanamandra,IIIT Hyderabad
Alok Debnath,Trinity College Dublin
Ishan Sanjeev Upadhyay,IIIT Hyderabad
Sameep Mehta,IBM
Roman Vaculin,IBM
Karan Ahuja,Carnegie Melon University
Diptikalyan Saha,IBM
Koustuv Dasgupta,Goldman Sachs
Dipanjan Chakraborty,IBM
Abhijit Mishra,Apple
Nilanjan Banerjee,Elucidata
Prasanna Sattigeri,IBM 
Aleksandra Mojsilovic,IBM
Anupam Joshi,University of Maryland
Yunfeng Zhang,Twitter
Natwar Modani,Adobe
Vijay Ekambaram,IBM
Utkarsh Dwivedi,University of Maryland
Diptesh Kanojia,University of Surrey
L Venkata Subramaniam,IBM 
Sukumar Nandi,IIIT Guwahati
SANTOSH BISWAS,IIT Bhilai
Kaushik Amar Das,IIIT Guwahati
Nazatul Haque Sultan,Senior Cybersecurity Architect
Neminath Hubballi,IIT Indore
Arijit Sur,IIIT Guwahati
Rahul Islam,Steven Institute of Technology
ritesh ratti,IIT Guwahati
RICHA SARMA,IIIT Guwahati
Rajat Kanti Bhattacharjee,Assam Engineering College
Sandip Chakraborty,IIT Kharagpur
G BANSAL,Student
Nityananda Sarma,Tezpur University
Maryline Laurent,Telecom SudParis
Nurzaman Ahmed,Dartmouth College
Vijay Varadharajan,University of Newcastle
Prithu Banerjee,Oracle
Khairuddin Omar,Universiti Kebangsaan Malaysia
Mohd. Zamri Murah,Universiti Kebangsaan Malaysia
Nor Hazlyna Harun,Universiti Utara Malaysia
Yuhanis Yusof,Universiti Utara Malaysia
"Muda, TZT",Lecturer
Che Wan Shamsul Bahri CW Ahmad,"Department of Computer Science, Faculty of Information Science and Technology, International Islamic"
Muhammad Khusairi Osman,Universiti Teknologi MARA (UiTM)
Rosline Hassan,Universiti Sains Malaysia
Mohd Sanusi Azmi,Universiti Teknikal Malaysia Melaka
Abdallah Abualkishik,Sohar University
mohd zamri murah,Universiti Kebangsaan 
Mohd Yusoff Mashor,"Electronic & Biomedical Intelligent Systems (EBItS) Research Group, School of Mechatronic"
Huda Ibrahim,Universiti Utara Malaysia
Azham Hussain,Universiti Utara Malaysia
Mohammed Abdulameer Mohammed,Al-Rafidain University College
Salih Hajem Glood,Thi-Qar University
Piet Desmet,Full Professor of French and Applied Linguistics
Anaïs Tack,Stanford University
Serge Bibauw,Université Catholique de Louvain
Adeline Müller,Université Catholique de Louvain
Louise-Amélie Cougnon,UCL
Magali Norré,Université Catholique de Louvain
Anne Catherine Simon,Université Catholique de Louvain
Thibault Philippette,Université Catholique de Louvain
Denis Cavallucci,INSA Strasbourg
François Rousselot,LSIIT
Cecilia Zanni-Merk,INSA Rouen Normandie / LITIS laboratory
Remy Houssin,Univesity of strasbourg
Oriane Nédey,"Computational Linguist, Acolad"
Achille Souili,INSA Strasbourg
Pierre Collet,Université de Strasbourg
Gaetano Cascini, Politecnico di Milano
Christophe LERCH, Université de Strasbourg
Emmanuel Caillaud,"Conservatoire National des Arts et Métiers, CNAM Paris"
Jonathan Grainger,Aix-Marseille University
Bernard Lété,Université Lumière Lyon 2
F.-Xavier Alario,Aix-Marseille University
Arnaud REY,Aix-Marseille University
Patrick Lemaire,Aix-Marseille University
Phillip J Holcomb,Professor of Psychology
Ludovic Ferrand,Universite Clermont Auvergne
Hervé Glotin,University of Toulon
Sebastiaan Mathôt,University of Groningen
Stéphanie Massol,University of Lyon
Chotiga Pattamadilok,CNRS
Thomas Hannagan,"Cognitive Neuroimaging Unit, CEA, France"
Stephanie Ries,San Diego State University
"Aileen McGonigal, MD PhD, Honorary...",University of Queensland
David Peeters,Tilburg University
Manuel Perea,University of Valencia
Melvin Yap,National University of Singapore
Carmen Moret-Tatay,"Universidad Católica de Valencia, San Vicente Mártir"
Manuel Carreiras,Professor of Psychology
laura esserman,University of California
Peter Yellowlees,University of California
Ralph Green,University of California
Arash Naeim,University of California
Robert Cardiff,"Distinguished Professor of Pathology, Emeritus"
Donald Berry,"professor of biostatistics, m.d. anderson cancer center"
Douglas Yee,Professor of Medicine
Nola Hylton,University of California
Christopher A. Longhurst,UC San Diego
Valentin Malykh,Kazan Federal University
Ilia Karpov,National Research University Higher School of Economics
Olga Lyashevskaya / Ольга Ляшевска...,National Research University Higher School of Economics
Elizaveta Kuzmenko,University of Groningen
Vadim Fomin,LORIA
Vladislav Mikhailov,
Ladislao Salmerón,University of Valencia
Julio Abascal,University of the Basque Country
Thierry Baccino, University of Paris 
Stephen J. Payne,University of Bath
Francisco Alcantud,Catedrático de Psicología Evolutiva y de la Educación
Inmaculada Fajardo,Universidad de Valencia
Marian Serrano-Mendizábal,Universitat de València
Ines Tomas Marco,Universitat de València
Amelia Mañá,Universidad de Valencia
Marcos Gómez-Puerta,Universidad de Alicante
Raquel Cerdan,Universidad de Valencia
Patricia Pérez-Fuster,Universidad Internacional de La Rioja
Carmen Candel Sanchez,University of Malta
Anirban Laha,Université de Montréal
Karthik Sankaranarayanan,Microsoft
Johannes Gehrke,Microsoft
Nagarajan Natarajan,Mircrosoft
Sachin Ashok,University of Illinois at Urbana-Champaign
Sundararajan Sellamanickam,Microsoft
Venkata N. Padmanabhan,Microsoft
Ritesh Shah,University of Auckland
Michael Carl,Kent State University
Sandeep Mathias, Presidency University
Riddhiman Dasgupta,Microsoft
Mohak Sukhwani,
Joe Cheri Ross,Linkedin
Ratish Puduppully,University of Edinburgh
Kevin Patel,"Machine Learning Scientist, Observe.ai"
Balamurali A R,Answer Genomics
Mark J. Carman,Politecnico di Milano
Shourya Roy,Flipkart
Shehzaad Dhuliawala,ETH Zurich
Parag Jain,University of Edinburgh
Mitesh Khapra,Indian Institute of Technology Madras
Preksha Nema,Google Research
Balaraman Ravindran,Indian Institute of Technology Madras
Saneem Ahmed Chemmengath,IBM Research AI
Vikas C. Raykar,Microsoft
Shreyas Shetty,Flipkart
Disha Shrivastava,University of Montreal
Sai Surya Duvvuri,UT Austin
Harish Guruprasad Ramaswamy,India Institute of Technology Madras
Shachar Mirkin,Lawgeex
Vardaan Pahuja,Ohio State University
Guy Lev,IBM
Subhabrata Mukherjee,Microsoft
y. narahari, Indian Institute of Science
Dinesh Garg,IBM
Amar prakash Azad,IBM
Ashish Mittal,IBM
Jaydeep Sen,IBM
Shreya Khare,IBM
Anush Sankaran,IBM
Pranay Lohia,Microsoft
Xingquan (Hill) Zhu,Florida Atlantic University
Gongqing Wu,Hefei University of Technology
Shichao Zhang,Guangxi Normal University
Dacheng Tao,The University of Sydney
Chengqi Zhang,Professor of Information Technology
Vipin Kumar,University of Minnesota
peipei li (Associate professor),Hefei University of Technology
"Meng Wang, IEEE Fellow, IAPR Fellow",Hefei University of Technology
Youxi Wu,Hebei University of Technology
Steve Maybank, Birkbeck College
Jing Zhang,Southeast University
Hiroshi Motoda,Osaka University
Ying Yang,Australian Taxation Office
Zhao Li, Zhejiang University
Ross Quinlan,RuleQuest Research Pty Ltd
Haiguang Li,Google
Peng Zhou,Anhui University
yi zhu,Yangzhou University
Yi He,Old Dominion University
Sadid A. Hasan,Microsoft
Oladimeji Farri,Siemens
Joey (Junyi) Liu,Philips
Vivek V. Datla,Philips
Kathy Lee,Philips 
solomon garber, Brandeis University
Reza Ghaeini,Microsoft
Yuan Ling,Amazon 
Siyuan Zhao,Worcester Polytechnic Institute
Aaditya (Adi) Prakash,Philips
Henning Müller,University of Geneva
Shafiq Joty, Salesforce
Matthew P Lungren,Stanford University
Asma Ben Abacha,Microsoft
Dina Demner-Fushman,National Library of Medicine
Michael Alexander Riegler,"Simula Research Laboratory, SimulaMet, UiT - The Arctic University of Norway"
Alba García Seco de Herrera, University of Essex
Liting Zhou, Dublin City University
Yashin Dicente Cid,Roche Diagnostics
Bogdan Ionescu,Politehnica University of Bucharest
Vitali Liauchuk,Google 
"Karen Monsen PhD, RN, FAAN, FAMIA", University of Minnesota
Genevieve Melton-Meaux,University of Minnesota
David Pieczkiewicz PhD, University of Minnesota
Stuart Speedie, University of Minnesota
Kai R. Larsen,University of Colorado
David Gefen,Drexel University
Rudra Murthy, IBM
Jayashree Aanand Gajjam,Indian Institute of Technology Bombay
Nikhil Wani,Indian Institute of Technology Bombay
Samarth Agrawal,eBay
Ingrid Falk,
Gayo Diallo,University of Bordeaux
Sophie Rosset,"Université Paris-Saclay, CNRS, LISN"
Brigitte Grau,LIMSI-CNRS France
Bras Myriam,"Professor, CLLE-ERSS (CNRS, UT2J), TMBI (Univ. Toulouse)"
"Houda Bouamor, PhD",Carnegie Mellon University
Marco Dinarelli,LIG CNRS
Louis de Viron,DataText
Max Mühlhäuser,Technische Universität Darmstadt
Pierre Gancarski,Université de Strasbourg
Christian Sallaberry,"Assistant Professor of Computer Science, University of Pau et des Pays de l'Adour"
Jiang Bian,University of Florida
hansi zhang,University of Florida
Xi Yang, University of Florida
Yunpeng Zhao,University of Florida
Carma Bylund,University of Florida
Gary L. Kreps,George Mason University
Alex Krist, Virginia Commonwealth University
Merry Jennifer Markham, University of Florida 
Todd Manini,University of Florida
Parisa Rashidi,University of Florida
Huan Chen,University of Florida
Yang Gong,University of Missouri
Hong Kang,Zhejiang University
"Rui Zhang, PhD, MS",University of Minnesota
Chen Liang,University of South Carolina
Abhyankar Minal,SICSR
Ramakrishnan Raman, Symbiosis International University
Vijayakumar Bharathi. S, Symbiosis International University
Ineke Schuurman,KU Leuven
Frank Van Eynde,KU Leuven
Leen Sevens,KU Leuven
Peter Dirix,KU Leuven
Bram Bulte,KU Leuven
Patrick Wambacq,KU Leuven
Stella Markantonatou,"Institute for Language and Speech Processing/R.C. ""Athena"", Athens, Greece"
Joris Pelemans, KU Leuven
Liesbeth Augustinus,KU Leuven
Jan Van den Bergh,Hasselt University
Sven Coppers,Hasselt University
Erik Tjong Kim Sang,Netherlands eScience Center
Arda Tezcan,Ghent University
Kris Luyten,Hasselt University - Flanders Make
Lyan Verwimp,KU Leuven
Sokratis Sofianopoulos,"Researcher at Institute for Language and Speech Processing (ILSP / ""Athena"" R.C.)"
Maite Melero,Senior researcher Barcelona Supercomputing Center
Vincent Vandeghinste,University of Leuven
Michael Moortgat,Utrecht University
Ton van der Wouden,Meertens Institute
Menzo Windhouwer,"Lead Software Engineer – Structured Data, Department of Digital Infrastructure, KNAW Humanities"
Nelleke Oostdijk,Radboud University Nijmegen
Martin Reynaert,University of Amsterdam
Conrad Perry,University of Adelaide
Arthur M Jacobs,"FU Berlin, Center for Cognitive Neuroscience (CCNB)"
Max Coltheart,Macquarie University
Marco Zorzi,University of Padova
Elisabeth Beyersmann,Macquarie University
Joel FLUSS,Hopitaux universitaires Geneve
Mario Braun,Associate Professor Neurocognitive Psychology
Kathleen Rastle,Royal Holloway University of London
Christian Lorenzi,Professor of Experimental Psychology
Cristina Castillo Rodríguez,University of Málaga 
Miriam Seghiri,University of Málaga 
Gloria Corpas Pastor,University of Málaga 
Moritz Schaeffer,"TRACO, Johannes Gutenberg-Universität Mainz"
Milagros León Vegas,Profesora de Historia Moderna (UMA)
Jorge Leiva Rojo,Profesor titular de universidad
Dr. Yun-Hao Yuan,Yangzhou University
