Authors,Affiliations
Paulo Romero Martins Maciel,Universidade Federal de Pernambuco
H.M. de Oliveira,"Lecturer, Universidade Federal de Pernambuco, Brazil"
Ergina Kavallieratou,"Associate Professor of Image Processing and Computer Vision, Department of Information"
Martin Musicante,Universidade Federal do Rio Grande do Norte
Paulo Mauricio Gonçalves Júnior,"Professor de Análise e Desenvolvimento de Sistemas, Instituto Federal de Pernambuco"
Valdemar C. da Rocha Jr.,Professor of Telecommunications
Rafael Dueire Lins,"Universidade Federal de Pernambuco/Universidade Federal Rural de Pernambuco, Brazil"
Anderson Pinheiro Cavalcanti,Doctoral Student at UFPE
Evandro Costa,Professor do Instituto de Computação da Universidade Federal de Alagoas
Péricles Barbosa Cunha de Miranda,Universidade Federal Rural de Pernambuco (UFRPE)
Máverick André Dionísio Ferreira,Universidade Federal de Pernambuco
Ig Ibert Bittencourt,Federal University of Alagoas
Vitomir Kovanović,"Senior Lecturer, University of South Australia"
Diego Dermeval,Professor at Federal University of Alagoas
André Câmara,Universidade Federal Rural de Pernambuco
Qiaozhu Mei,"Professor, University of Michigan"
Aäron van den Oord,Google DeepMind
Oriol Vinyals,Research Scientist at Google DeepMind
Thomas C Walters,Small Robot Company
Maarten de Rijke,University of Amsterdam & ICAI
Samuel Carton,"Postdoctoral Fellow, University of Colorado Boulder"
Yazhe Li,DeepMind
Manos Tsagkias,Apple Inc.
Evangelos Kanoulas,University of Amsterdam
ChengXiang Zhai,University of Illinois at Urbana-Champaign
Jian Tang (唐建）,"Associate Professor, Mila-Quebec AI Institute, HEC Montréal, Canada CIFAR AI Chair"
Xuanzhe Liu,Peking University
"Ming Zhang, 张铭","Professor,Peking University"
David A Hanauer,University of Michigan
Xuan Lu,"Research Fellow, University of Michigan"
Jiaqi Ma,University of Michigan
Jiawei Han,"Abel Bliss Professor of Computer Science, University of Illinois"
Cheng Li,Google
Huoran Li,"Software Engineering Institute, Peking University, Beijing, China"
Meng Qu,Quebec AI Institute (Mila)
Paul Resnick,University of Michigan
Zhe Zhao,"Research Scientist, Google Brain"
Yue Wang,"Assistant Professor, University of North Carolina at Chapel Hill"
Gang Huang,peking university
Hua Xu,"Professor, School of Biomedical Informatics, UTHealth"
V.G.Vinod Vydiswaran,"Assistant Professor of Learning Health Sciences and of Information, University of Michigan"
Mingzhe Wang,"PhD student, Princeton University"
Zhenpeng Chen,"Research Fellow, University College London"
Ping Chen,University of Massachusetts Boston
Jipeng Qiang,Yangzhou University
Han Wang,"Amazon.com Services, Inc."
Jiangning Chen,Amazon.com
"Boyang ""Albert"" Li","Nanyang Associate Professor, Nanyang Technological University"
John Rochford,UMass Chan Medical School
Wei Ding,"Professor of Computer Science, University of Massachusetts Boston; Program Director, NSF"
Dan Simovici,"Professor of Computer Science, University of Massachusetts"
Yue Liu,Facebook Reality Labs
Yang Liu,Amazon
Tong Wang,Amazon
Daniel Barbara,"Professor of Computer Science, George Mason University"
"Rakesh Verma, Rakesh M. Verma, RM...","Professor of Computer Science, University of Houston"
Xindong Wu,Hefei University of Technology
wei li,Jiangnan University
xiaohui cui,"Wuhan University, Oak Ridge National Laboratory"
Melissa Morabito,"Associate Professor of Criminology & Justice Studies, UMass Lowell & Center for Women & Work"
Hisham Al-Mubaid,UHCL
Kourosh Zarringhalam,Department of Mathematics UMass Boston
Chenyi Hu,"Professor, Computer Science, University of Central Arkansas"
T. Andrew Yang,University of Houston-Clear Lake
Soussan Djamasbi,"Professor of IS, Director of UXDM Eye Tracking Lab at WPI,"
Dawei Wang,"PhD in Computer Science, University of Mass. Boston"
Chung-Hsien Yu,University of Massachusetts Boston
Tomasz Stepinski,"Professor of Space Exploration, University of Cincinnati"
Josue Salazar,Rice University
Yu Cao,"Professor, The University of Massachusetts Lowell; Director, UMass Center for Digital Health"
Detmar Meurers,"Professor of Computational Linguistics, Universität Tübingen"
Monojit Choudhury,Microsoft
KALIKA BALI,Microsoft
Kaidi Lõo,University of Tartu
Ulrich Trautwein,"University of Tübingen, Universität Tübingen"
Elena Volodina,"Research Engineer, University of Gothenburg"
Ildiko Pilan,"Senior Research Scientist, Norwegian Computing Center"
Maria Chinkina,
Umair Z. Ahmed,"Research Fellow, National University of Singapore (NUS)"
Anupam Basu,"Professor, Indian Institute of Technology, Kharagpur"
Tirthankar Dasgupta,TCS Research
Alexander Eitel,"University of Giessen, Department of Educational Psychology"
Katharina Scheiter,University of Potsdam
Vasudeva Varma,"Professor, IIIT Hyderabad, India"
Sagnik Banerjee,Graduate student at Iowa State University
Uwe Dulleck,QUT
Nancy W Kong,University of Sydney
Loganathan Ramasamy,Charles University in Prague
Zdenek Zabokrtsky,Charles University in Prague
magdalena wolska,Bauhaus-Universität Weimar
Ramon Ziai,NLP Engineer at bettermarks & Research Affiliate at University of Tübingen
Kordula De Kuthy,"Researcher, Universität Tübingen"
Luiz Amaral,University of Massachusetts Amherst
Markus Dickinson,"Assistant Professor of Linguistics, Indiana University"
Sowmya Vajjala,National Research Council of Canada
Zarah Weiss,"Phd Student, University of Tübingen"
Xiaobin Chen,Tübingen University
Dr. Björn Rudzewitz,Universität Tübingen
Hans-Christoph Nuerk,"Professor of Psychology, University of Tuebingen"
Patrick Rebuschat,"Professor, Lancaster University"
Akira Murakami,University of Birmingham
Jirka Hana,Charles University; Geneea
Lionel Nicolas,Senior Researcher
Katrin Wisniewski,Leipzig University
Stefan Müller,"Professor of German Linguistics/Syntax, Humboldt Universität zu Berlin"
Dale Gerdemann,Akademischer Oberrat
Hatim Aboalsamh,King Saud University
Muhammad Hussain,"Professor, Department of Computer Science, King Saud University"
Prof Amir Hussain,"School of Computing, Edinburgh Napier University, Scotland, UK"
Abeer Alsaiari,"Electronic Visualization Laboratory, University of Illinois at Chicago"
Richard Byrd,University of Colorado
Hani Altwaijry,"Graduate Student, Department of Computer Science, Cornell University"
Mukesh Singhal,"University of California, Merced"
Anca D Dragan,Assistant Professor at UC Berkeley
Rodney Martin,NASA Ames Research Center
Alice M. AGOGINO,"Professor of Mechancial Engineering, University of California at Berkeley"
Qian Yang,Cornell University
Aparna Dhinakaran,UC Berkeley
Stefano Schiavon,"Assoc. Professor of Arch. and Civil & Environmental Eng., University of California Berkeley"
"Kamalika Das, PhD","Data Science, Intuit"
Anind K. Dey,University of Washington
Christian Koehler,"Principal UX Data Scientist, Oracle Inc."
tom webster,research specialist
Sachin Lodha,"TRDDC, Pune, India"
Manish Shukla,Tata Research Development and Design Centre
Vidyadhar Rao,IIIT Hyderabad
Vineet Padmanabhan,"Professor of Computer Science, University of Hyderabad"
Vijayanand Banahatti,TCS Research
Rui Zhang,"Assistant Professor, Penn State University"
Percy Liang,"Associate Professor of Computer Science, Stanford University"
Jure Leskovec,"Professor of Computer Science, Stanford University"
Irene Li,PhD Student at Yale University
Sang Michael Xie,"PhD Candidate, Stanford University"
Min-Yen Kan (靳民彦),"Associate Professor, National University of Singapore"
Jungo Kasai,University of Washington
Pang Wei Koh,Stanford University
Shiori Sagawa,"PhD Student, Stanford University"
Weihua Hu,"Ph.D. student, Stanford University"
Antoine Bosselut,EPFL
Caiming Xiong,Salesforce Research
Kokil Jaidka,"Assistant Professor, National University of Singapore"
Xi Victoria Lin,Meta AI
Richard Socher,you.com
Dan Friedman,Princeton University
Tianze Shi,Google
John Lafferty,
Rico Sennrich,University of Zurich
Mark Fishel,"Professor of NLP, University of Tartu"
Samuel Läubli,Zurich University of Applied Sciences
Paul Buitelaar,"Associate Professor, Data Science Institute, NUI Galway, Co-PI Insight Centre"
Špela Vintar,"Full Professor, University of Ljubljana"
Hans Uszkoreit,"Giance, DFKI, Saarland University"
Michael Piotrowski,Université de Lausanne
Frieder Stolzenburg,"Professor of Knowledge Based Systems in Computer Science, Harz University of Aplied Sciences"
Mina Shojaeizadeh,Worcester Polytechnic Institute
David N. Kennedy,"Professor, Department of Psychiatry, University of Massachusetts Medical School"
Peter Fay,IBM Research
Qiang Ji,"Professor of Electrical Eng., RPI"
Stephen V. Faraone,"Distinguished Professor of Psychiatry and of Neuroscience and Physiology, SUNY Upstate Medical"
Anders M. Dale,"Professor of Neurosciences, Radiology, Psychiatry, Cognitive Science, and Data Science, UCSD"
Hans Breiter,"Director, MGH Phenotype Genotype Project in Addiction and Mood Disorders"
Randy Gollub,"Professor of Psychiatry, Harvard Medical School"
Mark Cohen,"Professor of Psychiatry Neurology Psychology, UCLA"
David Ziegler,"Director of Multimodal Biosensing, Neuroscape, UCSF"
Andrew Worth,"Neuromorphometrics, Inc."
Stephen M. Smith,"WIN (FMRIB), Oxford University"
Cary Savage,"Professor, University of Nebraska-Lincoln"
"BJ Casey, Ph.D.","Department of Psychology, Yale University"
Linda Chang,"Professor and Vice Chair for Faculty Development, University of Maryland School of Medicine"
Elizabeth Sowell,"Professor of Pediatrics, University of Southern California"
Russ Poldrack,"Professor of Psychology, Stanford University"
Robert C. McKinstry,"Professor of Radiology and Pediatrics, Washington University in St. Louis"
Nicholas J. Horton,"Beitzel Professor of Technology and Society (Statistics and Data Science), Department of Mathematics"
Jason Tourville,"Research Assistant Professor, Boston University"
Eric Halgren,"Professor of Radiology and Neuroscience, UCSD"
Jorge Jovicich,"Professor, CIMeC - Center for Mind/Brain Sciences, University of Trento, Rovereto, Italy"
Vitaly Napadow,"Martinos Center for Biomedical Imaging, Department of Radiology, MGH, Harvard Medical School"
William R Crum,"Data Science Engineer, Imperial College London"
Qun Liu,"Noah's Ark Lab, Huawei"
Andy Way,"ADAPT Centre, Dublin City University"
Nick Campbell,"ATR, NAIST, NiCT,TCD"
Sheila Castilho,ADAPT Centre - Dublin City University
Joss Moorkens,"Associate Professor, Dublin City University"
Hugo Alexandre Dantas do Nascimento,"Instituto de Informática, Universidade Federal de Goiás"
Wilker Aziz,University of Amsterdam
Miguel Rios,University of Vienna
Daniel Stein,"Senior Research Scientist, eBay Inc."
Evgeny Matusov,AppTek
Les Foulds,"Professor Visitante Nacional Sênior, Instituto de Informática, Universidade Federal de Goiás"
Samuel R. Bowman,"Assistant Professor, NYU"
Yada Pruksachatkun,New York University
Haokun Liu,UNC Chapel Hill
Dr. Pradyut Kumar Biswal,"Assistant Professor, IIIT Bhubaneswar, India"
Dr Alok Ranjan Tripathy,"Department of Computer Science, Ravenshaw University"
ISHAN AYUS,"National Institute of Technology, Arunachal Pradesh"
Dr. Niranjan Panigrahi,"Parala Maharaja Govt. Engineering College, Berhampur"
Paramesha K,vvce
Dr. Gururaj H L,"SMIEEE, ACM Distinguished Speaker, Associate Professor of Computer Science and Engineering"
Smita Rath,Siksha 'O' Anusandhan Deemed to be University
Alakananda Tripathy,Siksha 'O' Anusandhan Deemed to be University
Dr. Ajay Gadicha,"Head of Department, P.R.Pote Patil College of Engg & Mgmt Amravati"
Shrabanee Swagatika,Assistant Professor
Suman Bhattacharya,Sr. Vice President Clinical Devt
Satya Ranjan Dash,KIIT University
PITAMBAR BEHERA,"Center for Linguistics, Jawaharlal Nehru University"
Mahendra Kumar Gourisaria,"Assistant Professor [II], KIIT Deemed to be University"
veena goswami,"Professor, School of Computer Application, KIIT University"
G B Mund,"Professor, Computer Science & Engineering, KIIT, Bhubaneswar, 751024"
Dr. Suchismita Rout,"Associate Professor, School of Computer Engineering, KIIT Deemed-to-be University, Odisha, India"
PABITRA MOHAN KHILAR,"ASSOCIATE PROFESSOR, DEPT. OF COMP. SC. & ENGG, NIT, ROURKELA, INDIA"
"Dr. Sachi Nandan Mohanty(PostDoc,II...","Department of Computer Engineering, Univerzitet Singidunum,Serbia"
LalBihari Barik,"Asst. Prof., Dept. of IS, FCITR, King Abdulaziz University"
Pratyusa Mukherjee,"Assistant Professor, KIIT University"
Siddharth Swarup Rautaray,KIIT Deemed to be University
Chinmaya Misra,"professor of computer Applications, KIIT UNIVERSITY"
Dr. Bibhudatta Sahoo,"Associate Professor of Computer Science, NIT Rourkela"
Sudarson Jena,"Associate Professor, Department of Computer science and engineering, Sambalpur University Institute"
